INPUT:input	OUTPUT:answer	OUTPUT:Jan_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_Angry	OUTPUT:kendall_feel	OUTPUT:answer_in_love	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	GOLDEN:answer	GOLDEN:Jan_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_Angry	GOLDEN:kendall_feel	GOLDEN:answer_in_love	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
test	Angry		good but need to better because a girl always need a better boyfriend and always a handsome hunk	yes to the home then she and he love each other make them happy				Jan hospital			Yes	Yes				eu.607014a8-7f25-44b6-a38b-64f94edde71b	yes he was angry but he also love her she is so cute girl anyone will fall in love	yes hospital he went to the hospital atlast to see her condition but she was good																										https://platform.toloka.ai/task/39722515/00025e1e13--648ee9cfad1f8e1e8e3211fc	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ee9cfad1f8e1e8e3211fc	9dc2539caf5cbb80a1145dc2f0e1b01b	APPROVED	2023-06-18T11:26:07.881
test	in_love		Positive emotions, growth, and deep connection indicate a strong romantic bond.		There is no indication or connection between Kendall's thoughts and the need to clean Jan's home. The focus is on wanting to talk to Jan, not engage in cleaning activities.		Kendall's actions of cleaning Jan's home and wanting to create a cozy space for her demonstrate care and love.		love_2	clean_home	Yes		Yes		Yes	eu.bf5b9d29-48c1-48b9-b07c-a88f3f7e1ea4	Because Positive emotions, growth, and deep connection indicate a strong romantic bond.		Because There is no indication or connection between Kendall's thoughts and the need to clean Jan's home. The focus is on wanting to talk to Jan, not engage in cleaning activities.		Because Kendall's actions of cleaning Jan's home and wanting to create a cozy space for her demonstrate care and love.																							https://platform.toloka.ai/task/39722515/00025e1e13--648eeb0808b5135b66ea68ba	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648eeb0808b5135b66ea68ba	ff6a68e14d9316ff9cf352ce870ef094	APPROVED	2023-06-18T11:31:20.736
test	in_love	Being loved	Love love love love love love love love love love love love love love love love		Love love love love love love love love love love love love love love love love love love love love love	Love love love love love love love love love love love love love love love love love love love love				talk_to_Jan	Yes		Yes	Yes		eu.e6675874-aa11-426c-aa29-3f53215eea29	Love love love love love love love love love love love		Love love love love love love love love love love love love love love love love love love love love love love love love	Love love love love love love love love love love love love love love love love love love love love love love																								https://platform.toloka.ai/task/39722515/00025e1e13--648eed99ad1f8e1e8e327f2d	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648eed99ad1f8e1e8e327f2d	eb7b97e49c8020bee90085efc968ee78	APPROVED	2023-06-18T11:42:17.774
test	in_love	Being loved	Because tgey were in love with each other		Because they love each other	They have sane feelings for each other				talk_to_Jan	no		Yes	Yes		eu.59fd9554-bd22-41ef-9505-1054b098cff8	Because they spend alot of time with each other		Because they wanna get get married so that is beneficial  that is huge benefit.	Because they care each other																								https://platform.toloka.ai/task/39722515/00025e1e13--648eeded80e07a75fd7af173	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648eeded80e07a75fd7af173	ba6c8ae20683e60550d24f0748324544	APPROVED	2023-06-18T11:43:41.518
test	Angry		Because not good naksvaoajaavakaiagbamabhavahagavav	Because not goodbavakanavajagacacjabavgajajana				Jan hospital			no	no				eu.e97ce417-18ac-40f9-9bc6-d2faf0da6ee0	Because not goo dkssbalakavjaabacaiuaagahavsvavvs.	Because not good bhaavavakacaagahababanajab a avah																										https://platform.toloka.ai/task/39722515/00025e1e13--648eee2c80e07a75fd7af78b	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648eee2c80e07a75fd7af78b	20177bfa89ae0ca8a700e5667866e32d	APPROVED	2023-06-18T11:44:44.717
test	in_love	Being ignored	Because this is a good game 		Because this is a good game 	Because this is a good game 				talk_to_Jan	Yes		Yes	Yes		eu.485cfc8b-11d0-4857-91a2-5a4289f9b690	Because this is a good game		Because this is a good game 	Because this is a good game 																								https://platform.toloka.ai/task/39722515/00025e1e13--648eef4ea1af7c7d84c1003f	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648eef4ea1af7c7d84c1003f	9a73693319fefc093b8b8d3a1eafad33	APPROVED	2023-06-18T11:49:34.818
test	in_love	Being loved	they're not arguing, so there's no anger		she wanted to talk to him	she showed, that she cares				talk_to_Jan	Yes		Yes	Yes		eu.91a848b3-75cb-41b8-8b82-cf495b31db3b	it's logical for her in the situation		why wouldn't she talk to him, if she has some thoughts to express	since she expressed her thoughts and feelings																								https://platform.toloka.ai/task/39722515/00025e1e13--648ef1b480636234aaacb859	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ef1b480636234aaacb859	f466e9cf524033b905c842eccc3019cf	APPROVED	2023-06-18T11:59:48.828
test	in_love		- Positive emotions, growth, and deep connection indicate a strong romantic bond. 		- There is no indication or connection between Kendall's thoughts and the need to clean Jan's home. The focus is on wanting to talk to Jan, not engage in cleaning activities.		- There is no indication of detachment in the scenario; Kendall's thoughts and actions show a strong emotional connection and consideration for Jan's well-being.		love_2	clean_home	Yes		Yes		Yes	eu.869f7f35-7a84-433b-89c9-e419eb1b2186	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game		- Kendall's thoughts indicate a desire to have a conversation with Jan, possibly about the upcoming dance and wanting to know if Jan has found a date.		- Kendall's actions of cleaning Jan's home and wanting to create a cozy space for her demonstrate care and love.																							https://platform.toloka.ai/task/39722515/00025e1e13--648ef26558db6d22ce86046f	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ef26558db6d22ce86046f	8a9292812d91dbb7436319e9b38b2252	APPROVED	2023-06-18T12:02:45.957
test	in_love	Being loved	I think that love implies the desire to do well to a loved one.		His participation is a sign of respect for his beloved.	Caring for your loved one is a natural desire.				talk_to_Jan	Yes		Yes	Yes		eu.29db0795-9742-441d-aa25-3ac1c0ae456a	Because their relationship is full of warmth and attention.		Because he wants to spend all the time with his beloved.	Because he feels reciprocity.																								https://platform.toloka.ai/task/39722515/00025e1e13--648ef69e08b5135b66ec0f69	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648ef69e08b5135b66ec0f69	bfde68810d26c51f58a56f70d6910b8b	APPROVED	2023-06-18T12:20:46.539
test	in_love	Being loved	реалистичная и интересная игра		со всем согласна,игра хорошая	все очень понравилось,графика реалистичная				talk_to_Jan	Yes		Yes	Yes		eu.60bc1b07-4ad7-4647-8ae7-f88e7f23b8c6	очень красивая игра,все  замечательно		все замечательно,уютный и приятный глазам дизайн	очень понравилось,обязательно сыграю в нее																								https://platform.toloka.ai/task/39722515/00025e1e13--648efc4208b5135b66ed240e	c44a1415-d098-4696-a69d-944c870fdf4a	00025e1e13--648efc4208b5135b66ed240e	4ffe80af8fc4a2bc48c72e9ad63ecee3	APPROVED	2023-06-18T12:44:50.868
