INPUT:input	OUTPUT:answer	OUTPUT:rating	OUTPUT:feedback	OUTPUT:Skylar_do	OUTPUT:Skylar_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_show_up	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	OUTPUT:answer_Connect with the local team leader	GOLDEN:answer	GOLDEN:rating	GOLDEN:feedback	GOLDEN:Skylar_do	GOLDEN:Skylar_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_show_up	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	GOLDEN:answer_Connect with the local team leader	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	show_up	8.0	The video is good but needs improvement	Experience nervousness about showcasing his abilities		attending practice sharpens ones skills		Confidence is key to everything		Its a good game The team members' silent and staring reaction might make Skylar feel self	confident	Yes		no		Yes	eu.a02a5162-f6ff-470e-a2f8-8f1ae5eb5926	Practice makes perfect The team members' silent and staring reaction might make Skylar feel self		You will get confidence when you do more practice		I feel she needs more experience																										https://platform.toloka.ai/task/39729433/00025e3919--64902a66a5f63b7de458386d	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a66a5f63b7de458386d	c4d9a05155b708fdaaaee06625e2bdaa	APPROVED	2023-06-19T10:13:58.541	+	
																																																							
test	show_up	8.0	good game i like it		Furious	she wanted to immediately join the game and play and enjoy		because she wanted to play	she could not immediately start training and therefore she was sad		embarrassed	Yes		Yes	no		eu.c2331aca-a436-4a6f-9ddd-0a1df9e77e27	she could not immediately start training and therefore she was sad		because she was not taken on the team	because she was not taken on the team																											https://platform.toloka.ai/task/39729433/00025e3919--64902a763e2de917d0fd4615	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a763e2de917d0fd4615	801be515a259b06667181d56380fd9b2	APPROVED	2023-06-19T10:14:14.575	+	
																																																							
test	Connect with the local team leader	6.0	graphics should be more interactive and texts should be more bigger			this is form of bribery which is unacceptable in sports	bribes and personal favors are against the spirit of sports which is unacceptable					no	no				eu.514394ae-f00f-41bc-a63f-2ebb1fad09e3	local team leader looks for someone who can financially assist the team and can give personal advantage	this is form of bribery which is unacceptable in sports				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64902a7d7961511e97afa986	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a7d7961511e97afa986	b7e9460b273b2bac8c6ec7ba0256012b	APPROVED	2023-06-19T10:14:21.519	+	
																																																							
test	Connect with the local team leader	8.0	thanks			it's the right decision to stop being bored	it's normal that we get angry for such requests					Yes	Yes				eu.d79caa91-91e0-4c2e-bc51-a57ce489f685	because it's kind of boring to play alone	because the team leader is looking for some financial support or other personal advantagers				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64902a93082f98304283e878	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a93082f98304283e878	f0913e61d138c3f869134577205c88b4	APPROVED	2023-06-19T10:14:43.836	+	
																																																							
test	Connect with the local team leader	8.0	I love the game			Like I said initially,the team leader knows what is the best for the team and is the decision maker	Paying means yours skills don't matter and you won't also go far in this profession.					Yes	Yes				eu.792ed05f-e3f4-41d1-8fd1-f9eba4f1db33	I prefere going to the team leader direct because he is grown and knows what the team needs best	I chose this because the team leader was being corrupt and unprofessional.  And paying means your talent and skills does not matter.				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64902aad088a130177c08882	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902aad088a130177c08882	c1af6337b91308e8dac4ff336c2912ef	APPROVED	2023-06-19T10:15:09.929	+	
																																																							
test	Connect with the local team leader	8.0	awesome 			cause she would reach out only if she needed  more information before checking it out 	it is unethical but she might also pay to make it easy 					Yes	Yes				eu.0d6ecc9f-9f45-49c9-9ebf-9589ebcaeb90	so she can see if their open for training and when would it be and how to sign up	its not the right way it wont be fun anymore plus she's just trying 				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64902b588a2bc02e2c1846cf	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902b588a2bc02e2c1846cf	a81ac6dbbfd4cc4bced91b1f3efd846a	APPROVED	2023-06-19T10:18:00.398	+	
																																																							
test	show_up	7.0	I think this game is so simple, it can make it a little more complicated	elated		pretty good options especially option A		pretty good options especially option B		pretty good options especially option A	confident	Yes		Yes		Yes	eu.d490b49b-8e9d-4f28-a445-63db6ad4b606	she needs to get out of the house and show herself right away		she has nothing to lose, she will show himself with everything		she will be happy, even if she fails, she will have done a nice activity																										https://platform.toloka.ai/task/39729433/00025e3919--64902b597961511e97afc9fd	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902b597961511e97afc9fd	51c1a4b90d1121c9e2b052896226136d	APPROVED	2023-06-19T10:18:01.777	+	
																																																							
test	show_up	2.0	I think the story is too short to grasp the psyche. Though it is not a game, but more than two options could have been provided for each situation like, she felt determined to impress the team.		Feel inferior	"Because she WANTS to play, she would go to the practice directly. She is driven by her desire.

Grammar of AI perspective seems wrong though."		She was hyped about going to play soccer and getting ignored and stared made her feel embarassed as her emotions were played. Not about their enthusiastic introduction 	It made her felt that she wasn't enough, making her feel inferior.		embarrassed	Yes		no	Yes		eu.0c4cbc16-e4fb-4a03-baed-49b6414c61c5	She wants to play soccer so she would directly go to the practice. Practice is a direct approach to play soccer.		She got ignored by the team. It would make her feel embarassed about the situation.	Comments on her physique made her feel inferior , as she wasn't even tested for her skills.																											https://platform.toloka.ai/task/39729433/00025e3919--64902bdb38c9c356156b9689	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902bdb38c9c356156b9689	ec7434f5a94ac275696948a0cf2d5a21	APPROVED	2023-06-19T10:20:11.372	+	
																																																							
test	Connect with the local team leader	4.0	I think it's fun, mysterious and engaging.			She would have to connect with someone who will show her the ropes. Organized teams have a formalized induction process she would have to go through, starting with contacting the team's leader.	Because she doesn't know how much she will have to pay, it may be a small fee which shouldn't get in the way of her getting into sports.					Yes	Yes				eu.2ff4e03c-ff96-47f7-bf04-c9de456b2eb0	It  is prudent to find out first as to how one might be able to join a team. The team leader would be the perfect person to contact.	Skylar is determined at this point to get into the local sports scene. It may be disconcerting to find out that there is a price to pay. But I think she is determined enough.				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--64902be88a837a7fd9221c30	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902be88a837a7fd9221c30	815d010aafae28f423a179475fc710c2	APPROVED	2023-06-19T10:20:24.122	+	
																																																							
test	show_up	10.0	The game is interesting because it is interactive. The graphic is also good, as well as the background music used.	elated		Because Skylar need to show to everyone his interest in playing soccer so he can join the local team.		Skylar should feel confident if he really wants to achieve something. This will give the people in the team be interested to him.		Skylar feels really elated about the fact that he is accepted to the team.	confident	Yes		Yes		Yes	eu.3f4712fb-628f-4bcc-816e-f7af0c38162d	Skylar need to show to everyone his interest in playing soccer so he can join the local team.		You need to be confident so people will trust you and your skill.		Because it is understandable that you will feel nervous but feeling elated is also one of the valid emotions you will feel. 																										https://platform.toloka.ai/task/39729433/00025e3919--64902bea3e2de917d0fd83e2	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902bea3e2de917d0fd83e2	3e06c1c83393df796bca8440e5c65336	APPROVED	2023-06-19T10:20:26.120	+	
																																																							
test	Connect with the local team leader	9.0	no feedback			"Same rationale as AI
A) Show up in practice directly 
- Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.

B) Connect with the local team leader 
- Skylar's intention to join the local soccer team may involve reaching out and connecting with the team leader to inquire about joining and gather more information before attending practice."	"Same rationale as AI
A) Surprised, but still consider paying the money 
- Skylar may feel conflicted and consider paying to join the team despite being surprised by the request.

B) Angry, and decide to report the team leader for bribery 
- Skylar's reaction may be one of anger, feeling that the team leader's request for financial support or personal advantages is unethical and decides to report the situation."					Yes	Yes				eu.dc1e9316-42d1-4405-bc42-a3da030a7a76	doing alone so boring, so Skylar should connect with others to join in local team	pay for joining is ok if it is a reasonable fee				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--64902c7aed6d7a3d8bc59add	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902c7aed6d7a3d8bc59add	e0a1249cb51e58247a5dcab00d70981f	APPROVED	2023-06-19T10:22:50.869	+	
																																																							
test	Connect with the local team leader	8.0	I think more time needed because the game take time to load 			Because he have to meet the local soccer team 	Because he wants to join the local team 					no	Yes				eu.5eb256af-1010-42d8-ae43-5b38cf2906d2	Because she is interested in the game 	Because he is interested in the game 				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--64902de641f42b7dcbbb9fc3	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902de641f42b7dcbbb9fc3	a45e6b7cd3f4908c871088958a6e6c6e	APPROVED	2023-06-19T10:28:54.442	+	
																																																							
test	show_up	10.0	I think you should provide other tasks that are enjoyable like this ,thank you so much 	elated		Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.		While the team members' initial reaction is unclear, Skylar's excitement and eagerness to join the team may contribute to a sense of confidence in expressing their interest.		The positive response from the team leader and their invitation to showcase skills would likely make Skylar feel excited and elated about being accepted into the team.	confident	Yes		Yes		Yes	eu.d9a6a027-b959-4f1f-a19b-6b1140056bf0	Because of the progress of the game it is easy to show up in practice directly 		"Very confident because of the game B) Confident - 
While the team members' initial reaction is unclear, Skylar's excitement and eagerness to join the team may contribute to a sense of confidence in expressing their interest"		The positive response from the team leader and their invitation to showcase skills would likely make Skylar feel excited and elated about being accepted into the team.																										https://platform.toloka.ai/task/39729433/00025e3919--64902deca5f63b7de4592f4b	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902deca5f63b7de4592f4b	dcbfbaa098c8a9a6ca4802998db9f518	APPROVED	2023-06-19T10:29:00.738	+	
																																																							
test	Connect with the local team leader	8.0	Game is interesting but needs to be a little bit longer.			"Yeah 
He would have provided information about the team and rules."	It is unacceptible to agree with those nonsense terms.					Yes	no				eu.d9cdefd8-79f1-4e42-b696-8ddcd1c6e952	I thought it would be good to connect with leader before going to practise directly because it would seem weird to show up like that.	"I decided because it would not be appropriate to agree with such nonsense terms and he may use those terms in future with other new players also.
It was good to warn him in the starting before things would go out of hands."				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64902e1cb6854616dc194c2e	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902e1cb6854616dc194c2e	6853b80b54b2b6e73059208e40337d36	APPROVED	2023-06-19T10:29:48.750	+	
																																																							
test	Connect with the local team leader	9.0	It's a fun interactive game! I love the animation and the music. Maybe add more options to make it more fun!			I agree with the AI rationale. By showing up in the practice directly, Skylar shows initiative. On the other hand, by connecting with the local team leader, Skylar shows curiosity.	I agree with the AI rationale. It can still be enticing to pay money despite not being ethical especially if you really want to join a team. But if it is against your principles, you would choose to report such act because it is not right.					Yes	Yes				eu.f31d61cd-b86c-499f-8047-63d7d5403d64	Because before joining a team, it is important to inform the head of the team about your desire to join them to gather more information.	Because even though he was the team leader of the team, it is not right for him to bribe someone into joining. I would not want to be a part of the team who is not just in their way of recruiting members.				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64902e6841f42b7dcbbbc6fa	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902e6841f42b7dcbbbc6fa	147ebef3bdb99230713902aa48ad3f21	APPROVED	2023-06-19T10:31:04.444	+	
																																																							
test	show_up	5.0	Make it more interactive 	Experience nervousness about showcasing his abilities		Skylar's desire to add interest to soccer suggests that they would take the initiative to join the neighborhood team by showing up to practices.		While the team members' initial reaction is unclear, Skylar's excitement and eagerness to join the team may contribute to a sense of confidence in expressing their interest.		 Despite feeling confident initially, Skylar may still experience some nervousness or pressure about performing well and proving their skills to the team.	confident	Yes		Yes		Yes	eu.f587b384-d420-4067-a5e3-6d2a8555b890	Skylar's desire to add interest to soccer suggests that they would take the initiative to join the neighborhood team by showing up to practices.		While the team members' initial reaction is unclear, Skylar's excitement and eagerness to join the team may contribute to a sense of confidence in expressing their interest.		 Despite feeling confident initially, Skylar may still experience some nervousness or pressure about performing well and proving their skills to the team.																										https://platform.toloka.ai/task/39729433/00025e3919--64902efaa5f63b7de459b0bc	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902efaa5f63b7de459b0bc	acad751e4a71a9a087b56269aab444d0	APPROVED	2023-06-19T10:33:30.674	+	
																																																							
test	show_up	9.0	Nothing 		Feel inferior	Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.		"The team members' silent and staring reaction might make Skylar feel self-conscious and embarrassed about their enthusiastic introduction.
"	The team members' contemptuous response and mention of Skylar's physique may make them feel inadequate and inferior in comparison.		embarrassed	Yes		Yes	Yes		eu.aa975d1c-f0dc-4e05-ab98-930dd13059c7	Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly		"The team members' silent and staring reaction might make Skylar feel self-conscious and embarrassed about their enthusiastic introduction.
"	The team members' contemptuous response and mention of Skylar's physique may make them feel inadequate and inferior in comparison.																											https://platform.toloka.ai/task/39729433/00025e3919--64902fc08a837a7fd9228945	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902fc08a837a7fd9228945	0b9cda2470ff275a920da34b9b1ab4e4	APPROVED	2023-06-19T10:36:48.324	+	
																																																							
test	show_up	6.0	It will be interesting to see how the game turns out!	elated		I agree with perspectives A and B. Showing up directly shows courage. Asking the local team leader first shows respect. 		I agree with the AI's perspective on feeling embarrassed. However, I believe that Skylar is confident because she believes in herself and the talent she can bring to the team.		I agree with both perspectives. Skylar may feel happy since she is accepted on the team. She may also feel nervous as she has to prove herself to the team.	confident	Yes		no		Yes	eu.3348c9e0-0ead-4aa3-928c-24690ba561b4	It shows that Skylar is really ready and committed to play soccer.		Since I chose the option where Skylar shows up in practice, her attitude should be in agreement with her decision. Since she shows up for practice, she must be confident.		She should feel happy that she is accepted by the team the first day she shows up. 																										https://platform.toloka.ai/task/39729433/00025e3919--64902fc57961511e97b09ad3	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902fc57961511e97b09ad3	d55bbe7e6b3f777c1df5a3a8ccde471c	APPROVED	2023-06-19T10:36:53.909	+	
																																																							
test	Connect with the local team leader	8.0	none			because showing up directly in a practice just sounds weird if you're not a member yet.	Like I said, paying membership fee isn't uncommon in joining any teams. 					no	Yes				eu.935cb70e-365c-4a72-873d-a54418b033f1	because this is the first step in joining any team	think of it as a membership fee. It also helps the team financially.				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--649030d58a2bc02e2c19bddb	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649030d58a2bc02e2c19bddb	d72d88be06cabc87834c68d1466807b6	APPROVED	2023-06-19T10:41:25.629	+	
																																																							
test	Connect with the local team leader	9.0	I love the game sincerely			Because he must go through the Team Lead to be made aware of the set down rules and regulations guiding the Team.	Yes, he will pay the money to boycott unnecessary delayed tactics to satisfying his passion.					Yes	Yes				eu.188e870f-286d-446f-ab5e-fc7d22c4786e	Because no local Team will allow anybody join their Team without going through the due process	He will have no option than to pay the money to avoid unnecessary delays to satisfying his passion and also avoid outright rejection				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--649031a75ed3fa3a01bee0f3	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649031a75ed3fa3a01bee0f3	fe25b25a6a7267975f40353370537ee6	APPROVED	2023-06-19T10:44:55.262	+	
																																																							
test	show_up	8.0	I think it is quite interesting game. And the female in lead role is quite refreshing. Players, specially girls will very much enjoy this game.	elated		Because her desire to play soccer makes her take this rather risky initiative. She wants to showcase her skills, so that the will be highlighted and most probably accepted 		She is confident because she relies on her abilities. She has worked hard to be this confident.		She is elated because she is getting noticed for her game. And the response from team leader which is quite positive, makes her thrilled and happy.	confident	Yes		no		Yes	eu.7cb1ad64-b42b-4ff3-9e06-67eefb859f52	Because Skylar is pretty confident in her skills, so she wants to risk it all. She knows her strengths and wants to show this to the other team members.		Because Skylar is very much talented and she trusts her skills.		Because so far, she is quite determined. So, she has nothing to be nervous about 																										https://platform.toloka.ai/task/39729433/00025e3919--649031d841f42b7dcbbd4459	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649031d841f42b7dcbbd4459	7120000be23fcf1f9f1b3195dc3c2842	APPROVED	2023-06-19T10:45:44.840	+	
																																																							
test	Connect with the local team leader	7.0	i like it			according to her mentality	because of her fear that she will not be playing in the local team					Yes	Yes				eu.b988e8f1-a3d8-4042-a410-63c5682f09ee	Because she wanted to join the local team 	Because she is passionated to play in local team				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--6490330f8a837a7fd922dfcc	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--6490330f8a837a7fd922dfcc	3773de6a230eefef457b10ab75185ee8	APPROVED	2023-06-19T10:50:55.193	+	
																																																							
test	Connect with the local team leader	9.0	I need more of such tasks			Because its the right way to join the team	Because it seems like a test to see her seriousness					Yes	Yes				eu.56104ce1-e34b-473d-b5c0-fe6b56a546ec	Its the right channel to follow	Because she really wants to join the team it could be a way of showing support and seriousness				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--6490336b2c54ed5eaed1ac9d	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--6490336b2c54ed5eaed1ac9d	13532a90b8a34e011d63c2345fda6593	APPROVED	2023-06-19T10:52:27.345	+	
																																																							
test	show_up	8.0	It's a perfect virtual game.	elated		He wouldn't want to connect with the team leader directly without having a chance to show how skilled he is at soccer.		He would want to show that he merits a spot on the soccer team and not just imposing himself on them.		He had no reasons to experience any nervousness about showcasing his abilities since he was absolutely sure of his abilities and skills at soccer game.	confident	Yes		Yes		Yes	eu.2f78d4e9-fb31-4452-a3df-acefdfdb25ce	Skylar would show up in practice directly in other to show he is ready and qualified to be a part of the team.		He is confident because he knows he would be able to scale through with the training and be allowed to join the team.		He would feel very elated that he was allowed a chance to show his skills and finally be allowed to be a part of the soccer team.																										https://platform.toloka.ai/task/39729433/00025e3919--64903612ca100c5a47bd58b3	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64903612ca100c5a47bd58b3	4d2cb018c82fd1b23d49eac2ef0f2cfb	APPROVED	2023-06-19T11:03:46.669	+	
																																																							
test	Connect with the local team leader	8.0	good			she will have more information and be able to make good decisions .	since her intentions are to play the game and money must be there to buy uniforms etc.					Yes	no				eu.08dcdaae-f4cc-48f7-a99f-03e09c63c6f7	playing with other people won't make her bored	since she really like football.				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--649036d65ed3fa3a01bfd77a	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649036d65ed3fa3a01bfd77a	59487061b9df76a989cece4a8e67207b	APPROVED	2023-06-19T11:07:02.815	+	
																																																							
test	show_up	8.0	I think the game is good	elated		Sports make skylar relax a d playing alone is boring		Skylar is eager and confident to play		She is excited about being accepted into the team	confident	Yes		Yes		Yes	eu.d4cf973a-a2fe-4cbf-8389-cc6904f88949	Because sports make her relax and playing alone is boring.		If she is confident, the team will take her serious. 		Because its all she wants to do.																										https://platform.toloka.ai/task/39729433/00025e3919--649039212c54ed5eaed2894b	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649039212c54ed5eaed2894b	e1a7e6b724abea9ee801dc0a7019051b	APPROVED	2023-06-19T11:16:49.721	+	
																																																							
test	Connect with the local team leader	6.0	None			Because Skylar needs all the necessary information ahead.	Because it is unethical. It is not good for the reputation of the organization.					Yes	Yes				eu.e693ba87-6f6b-4d84-8085-e14aab80d4b8	It is better to inform the team leader so that adequate preparation can be made to accomodate Skylar.	It is unethical, and may deprive people who do not have money chances of participation in the sport.				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64903c4d3e2de917d001768c	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64903c4d3e2de917d001768c	116ba3bb66a70cbcf807e05678fad9f8	APPROVED	2023-06-19T11:30:21.652	+	
																																																							
test	show_up	10.0	"I hope there will be this awesome choice game from the developer with more interesting scenerios and stories.
Good luck!"	elated		Showing interest in game by attending the practice directly and persuing Skyler goal is the right thing to do.		Confidence is key to better performance and showing up in game with confidence is requiref of Skyler.		Indeed Skyler is straight forward and telented so feeling elated and happy is the reaction required of Skyler.	confident	Yes		Yes		Yes	eu.f46a2fcc-6da6-4b2d-9b5c-68b0ec2fdc4c	Its what Skylar really wanted to do.So enjoy the game.		To performwell Skyler needs to be confident.		Skyler was over the moon after acceptance in team.																										https://platform.toloka.ai/task/39729433/00025e3919--64903e758a2bc02e2c1c53b8	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64903e758a2bc02e2c1c53b8	60dc5719c4ce3daa9021a0c79ffd2cd1	APPROVED	2023-06-19T11:39:33.301	+	
																																																							
test	Connect with the local team leader	8.0	 			Seems more rationable and realistic	Seems more rationable and realistic					Yes	Yes				eu.6f1e2087-4b29-4dea-baa0-d86eabf20f57	Seems more rationable and realistic	Seems more rationable and realistic				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--649029cdd04bdd0934b77554	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649029cdd04bdd0934b77554	a5142f3e65e89f0d294e14c5bd09ac2f	REJECTED	2023-06-19T10:11:25.922	-	no rationale given
																																																							
